bike_name,Price,Rating,Engine,Mileage,Max_Power,Fuel_Capacity,Top_Speed,Tyre_Type,Kerb_Weight,Max_Torque
Hero Xtreme 125R,89300,4.6,124 CC,66 Kmpl,11.55 PS,10 Liters,95 kmph,Tubeless,136 Kg,10.5 Nm
Hero Xtreme 125R,89300,4.6,124 CC,66 Kmpl,11.55 PS,10 Liters,95 kmph,Tubeless,136 Kg,10.5 Nm
Hero Xtreme 125R,89300,4.6,124 CC,66 Kmpl,11.55 PS,10 Liters,95 kmph,Tubeless,136 Kg,10.5 Nm
Hero HF Deluxe,57657,4.3,97 CC,70 Kmpl,8.02 PS,9.6 Liters,85 kmph,Tubeless,112 Kg,8.05 Nm
Hero HF Deluxe,57657,4.3,97 CC,70 Kmpl,8.02 PS,9.6 Liters,85 kmph,Tubeless,112 Kg,8.05 Nm
Hero HF Deluxe,57657,4.3,97 CC,70 Kmpl,8.02 PS,9.6 Liters,85 kmph,Tubeless,112 Kg,8.05 Nm
Hero HF Deluxe,57657,4.3,97 CC,70 Kmpl,8.02 PS,9.6 Liters,85 kmph,Tubeless,112 Kg,8.05 Nm
Hero HF Deluxe,57657,4.3,97 CC,70 Kmpl,8.02 PS,9.6 Liters,85 kmph,Tubeless,112 Kg,8.05 Nm
Hero HF Deluxe,57657,4.3,97 CC,70 Kmpl,8.02 PS,9.6 Liters,85 kmph,Tubeless,112 Kg,8.05 Nm
Hero HF Deluxe,57657,4.3,97 CC,70 Kmpl,8.02 PS,9.6 Liters,85 kmph,Tubeless,112 Kg,8.05 Nm
Hero HF Deluxe,57657,4.3,97 CC,70 Kmpl,8.02 PS,9.6 Liters,85 kmph,Tubeless,112 Kg,8.05 Nm
Honda Shine,80852,4.1,123 CC,55 Kmpl,10.78 PS,10.5 Liters,90 kmph,Tubeless,113 Kg,11 Nm
Honda Shine,80852,4.1,123 CC,55 Kmpl,10.78 PS,10.5 Liters,90 kmph,Tubeless,113 Kg,11 Nm
Honda Shine,80852,4.1,123 CC,55 Kmpl,10.78 PS,10.5 Liters,90 kmph,Tubeless,113 Kg,11 Nm
Honda Shine,80852,4.1,123 CC,55 Kmpl,10.78 PS,10.5 Liters,90 kmph,Tubeless,113 Kg,11 Nm
Honda Shine,80852,4.1,123 CC,55 Kmpl,10.78 PS,10.5 Liters,90 kmph,Tubeless,113 Kg,11 Nm
Honda Shine,80852,4.1,123 CC,55 Kmpl,10.78 PS,10.5 Liters,90 kmph,Tubeless,113 Kg,11 Nm
Honda Shine,80852,4.1,123 CC,55 Kmpl,10.78 PS,10.5 Liters,90 kmph,Tubeless,113 Kg,11 Nm
Honda Shine,80852,4.1,123 CC,55 Kmpl,10.78 PS,10.5 Liters,90 kmph,Tubeless,113 Kg,11 Nm
Royal Enfield Himalayan 450,305736,4.7,452 CC,30 Kmpl,40.02 PS,17 Liters,135 kmph,Tube,195 Kg,40 Nm
Royal Enfield Himalayan 450,305736,4.7,452 CC,30 Kmpl,40.02 PS,17 Liters,135 kmph,Tube,195 Kg,40 Nm
Royal Enfield Himalayan 450,305736,4.7,452 CC,30 Kmpl,40.02 PS,17 Liters,135 kmph,Tube,195 Kg,40 Nm
Royal Enfield Himalayan 450,305736,4.7,452 CC,30 Kmpl,40.02 PS,17 Liters,135 kmph,Tube,195 Kg,40 Nm
Royal Enfield Himalayan 450,305736,4.7,452 CC,30 Kmpl,40.02 PS,17 Liters,135 kmph,Tube,195 Kg,40 Nm
Royal Enfield Himalayan 450,305736,4.7,452 CC,30 Kmpl,40.02 PS,17 Liters,135 kmph,Tube,195 Kg,40 Nm
Royal Enfield Himalayan 450,305736,4.7,452 CC,30 Kmpl,40.02 PS,17 Liters,135 kmph,Tube,195 Kg,40 Nm
Royal Enfield Himalayan 450,305736,4.7,452 CC,30 Kmpl,40.02 PS,17 Liters,135 kmph,Tube,195 Kg,40 Nm
KTM 200 Duke,193854,4.2,199 CC,35 Kmpl,25 PS,13.5 Liters,140 kmph,Tubeless,159 Kg,19.3 Nm
KTM 200 Duke,193854,4.2,199 CC,35 Kmpl,25 PS,13.5 Liters,140 kmph,Tubeless,159 Kg,19.3 Nm
KTM 200 Duke,193854,4.2,199 CC,35 Kmpl,25 PS,13.5 Liters,140 kmph,Tubeless,159 Kg,19.3 Nm
